country,adm1_code,admin_level_1,year,farmer,nextserv,nremit,nborrow,nsocben,telephone,dsmall,vpfood,foodprod,totvp,totlivstvp,yield_vha,yieldwork,yield_total,yield_weha,yield_maha,yield_riha,foodexp,pcexp2,foodownp,foodcal,totincome,qchem_ha,femhead,agehead,snghead,msize,fsize,dextens,distance,sh_agin,shagwge,shoffarm,shtrans,shother,landop,TLU_total,dmachinery,shirrland,chemexp_ha,qfert_ha,fertexp_ha,qseed_ha,seedexp_ha,dtchadmem,shagprod_sold,shinput_vp,shfert_purch,shseed_purch,shchem_purch,dborrow,amloan,famldays,wfamldays,mfamldays,hlabdays,hlabwage,offlabday,offlabwage,hhsize,eduhead,dsocben,shsocben,dremit,remitt,dphone,TLU_agg_cattle,TLU_agg_poultry,TLU_agg_other,TLU_agg_equins,TLU_agg_pigs,TLU_agg_camels,TLU_agg_goats,var_type
Uganda,47067,Amolatar,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47067,Amolatar,2012,27664.449,7417.931,906.894,0.0,0.0,0.0,0.579,608.127,1.246,671.505,108.943,381.148,5.756,430.075,,0.001,,236.563,202.707,,,1386.602,0.011,0.123,40.924,,2.499,2.312,0.268,3.824,0.9,0.007,0.091,0.002,0.0,3.601,8.148,0.0,0.0,0.177,0.0,0.0,20.183,9.554,,0.433,0.047,,,,0.0,,0.361,0.095,0.206,0.083,2.443,0.064,17.508,4.929,10.285,0.0,0.0,0.033,3.997,,7.318,0.108,0.0,0.0,0.131,0.0,0.591,1
Uganda,47068,Amuria,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47068,Amuria,2012,34140.438,5017.746,22981.123,0.0,0.0,0.0,0.78,2275.048,4.469,2555.699,129.348,944.898,9.481,1038.839,,0.002,,352.789,309.976,,,4624.022,0.277,0.704,65.372,,4.22,1.638,0.147,3.569,0.573,0.0,0.239,0.058,0.13,3.552,3.765,0.0,0.0,1.3,0.0,0.0,90.197,14.781,,0.419,0.02,,,,0.0,,0.826,0.1,0.83,0.051,3.566,0.145,,5.857,2.599,0.0,0.0,0.673,284.11,,3.154,0.121,0.0,0.0,0.039,0.0,0.059,1
Uganda,747,Budaka,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,747,Budaka,2012,11209.221,0.0,936.512,0.0,0.0,0.0,0.875,496.437,1.008,571.232,196.241,434.995,2.183,504.909,,0.001,,136.053,134.306,,,1159.967,0.111,0.058,51.245,,3.262,3.933,0.0,0.722,0.825,0.054,0.105,0.015,0.0,1.362,2.608,0.0,0.0,2.02,0.0,0.0,39.289,30.338,,0.178,0.064,,,,0.0,,0.915,0.454,0.303,0.025,2.164,0.0,,7.645,4.835,0.0,0.0,0.084,5.485,,2.022,0.108,0.0,0.0,0.0,0.0,0.478,1
Uganda,3110,Busia,2005,28360.16,4943.86,10650.89,3359.12,0.0,0.0,0.963,519.33,1.429,551.803,110.532,811.258,4.023,807.731,,0.002,,301.525,671.986,0.496,,2729.149,,0.433,48.18,,2.968,3.208,0.174,5.031,0.56,0.01,0.315,0.095,0.02,0.919,0.462,,0.0,2.841,,0.0,,9.382,,0.289,0.013,,,,0.118,95.347,0.554,0.302,0.175,0.044,2.981,0.11,,6.176,3.953,0.0,0.0,0.376,226.265,,0.298,0.093,0.0,0.0,0.0,0.0,0.164,1
Uganda,3110,Busia,2012,50547.33,3951.726,39655.877,0.0,0.0,0.0,1.0,458.048,0.615,464.578,60.414,757.128,5.665,781.552,,0.001,,184.655,155.338,,,839.187,0.0,0.686,57.051,,1.668,3.045,0.078,1.818,0.622,0.004,0.093,0.275,0.006,0.745,0.644,0.0,0.0,1.025,0.0,0.0,21.339,17.672,,0.061,0.024,,,,0.0,,0.365,0.199,0.132,0.006,2.946,0.018,,4.726,2.77,0.0,0.0,0.785,141.712,,0.0,0.182,0.0,0.0,0.005,0.0,0.418,1
Uganda,47071,Butaleja,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47071,Butaleja,2012,10277.197,547.943,2729.909,0.0,0.0,0.0,1.0,524.555,1.119,528.618,0.0,1153.839,3.846,1160.566,,0.002,,198.74,165.297,,,583.87,0.0,0.053,46.556,,3.64,3.291,0.053,0.78,0.912,0.0,0.008,0.08,0.0,0.469,1.233,0.0,0.0,0.0,0.0,0.0,27.159,21.44,,0.004,0.049,,,,0.0,,0.563,0.317,0.148,0.009,2.501,0.058,,6.931,2.744,0.0,0.0,0.266,50.252,,0.753,0.166,0.0,0.0,0.0,0.0,0.096,1
Uganda,3112,Hoima,2005,45386.269,4631.3,11541.87,2722.13,612.32,0.0,0.844,589.285,1.811,3183.176,122.693,919.534,23.214,4732.593,,0.003,,401.811,690.235,0.522,,4382.943,,0.18,44.673,,3.023,3.03,0.102,4.532,0.648,0.047,0.252,0.05,0.003,1.263,1.423,,0.037,3.24,,13.041,,20.634,,0.31,0.042,,,,0.06,19.559,0.575,0.362,0.179,0.046,9.738,0.191,4.457,6.053,4.932,0.013,0.032,0.254,77.711,,1.177,0.06,0.0,0.0,0.0,0.0,0.245,1
Uganda,3112,Hoima,2012,86037.046,8961.316,11347.43,21214.071,0.0,0.0,0.911,882.817,1.821,1736.117,39.405,868.369,11.053,1356.444,,0.002,,427.412,421.964,,,3982.187,0.022,0.183,47.867,,2.739,2.341,0.104,1.884,0.517,0.082,0.355,0.035,0.011,1.371,0.862,0.0,0.0,0.295,0.022,0.189,72.041,22.663,,0.28,0.025,,,,0.247,,0.819,0.328,0.294,0.026,5.161,0.083,3.393,5.116,5.202,0.0,0.0,0.132,43.764,,0.375,0.069,0.0,0.0,0.078,0.0,0.306,1
Uganda,47072,Ibanda,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47072,Ibanda,2012,54206.641,7938.159,20184.97,0.0,481.587,0.0,0.894,1773.636,2.602,2031.646,65.015,2307.804,7.087,2586.159,,0.004,,370.896,356.032,,,5708.653,0.448,0.537,48.986,,1.614,2.869,0.146,2.001,0.65,0.004,0.251,0.097,0.002,1.468,1.351,0.0,0.023,8.182,0.0,0.0,55.312,24.42,,0.325,0.012,,,,0.0,,0.874,0.72,0.168,0.116,2.861,0.086,4.221,4.483,5.13,0.009,0.003,0.372,301.122,,0.891,0.032,0.0,0.0,0.028,0.0,0.4,1
Uganda,47073,Isingiro,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47073,Isingiro,2012,53196.882,20876.322,10029.921,0.0,0.0,0.0,0.874,2323.107,4.305,2365.437,140.908,1991.974,8.881,2029.668,,0.004,,333.401,324.431,,,5304.475,0.0,0.236,41.231,,2.96,3.634,0.392,3.418,0.627,0.043,0.315,0.01,0.004,2.098,1.171,0.0,0.0,0.0,1.652,0.72,89.987,16.436,,0.355,0.008,,,,0.0,,0.883,0.527,0.268,0.063,2.585,0.04,6.384,6.622,5.962,0.0,0.0,0.189,34.921,,0.61,0.031,0.0,0.0,0.015,0.0,0.38,1
Uganda,3114,Jinja,2005,38512.44,3499.78,8742.0,7310.68,0.0,0.0,0.963,646.381,2.136,807.727,160.915,1059.564,5.103,1406.53,,0.004,,329.742,779.106,0.397,,3071.611,,0.318,41.421,,2.859,2.991,0.091,2.91,0.556,0.032,0.386,0.018,0.008,0.689,0.769,,0.003,6.034,,0.221,,14.127,,0.267,0.029,,,,0.19,119.887,0.521,0.33,0.086,0.029,6.671,0.246,4.448,5.834,4.23,0.0,0.0,0.227,125.395,,0.597,0.081,0.0,0.0,0.0,0.0,0.172,1
Uganda,3114,Jinja,2012,27223.386,6529.515,8298.928,1106.422,0.0,0.0,0.963,596.107,1.398,1657.648,36.348,808.458,6.125,1197.722,,0.002,,265.61,285.847,,,4218.115,5.157,0.341,46.053,,3.129,3.603,0.24,0.764,0.507,0.031,0.349,0.109,0.004,0.826,1.24,0.0,0.0,3.146,1.593,0.017,75.545,15.309,,0.188,0.026,,,,0.041,,0.732,0.265,0.263,0.027,2.549,0.111,6.095,6.731,5.385,0.0,0.0,0.305,69.605,,0.955,0.145,0.0,0.0,0.017,0.0,0.122,1
Uganda,47074,Kaabong,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47074,Kaabong,2012,33361.204,3870.269,23160.929,723.566,0.0,0.0,1.0,168.169,0.22,171.82,40.926,196.375,2.261,198.742,,0.0,,241.291,206.387,,,1334.737,0.0,0.685,52.671,,1.968,2.487,0.116,4.456,0.354,0.006,0.403,0.236,0.001,1.044,1.387,0.0,0.0,0.0,0.0,0.0,13.88,6.086,,0.034,0.041,,,,0.022,,0.261,0.0,0.117,0.045,1.399,0.033,6.784,4.454,0.664,0.0,0.0,0.694,113.424,,1.031,0.065,0.0,0.0,0.01,0.0,0.247,1
Uganda,3115,Kabale,2005,76182.89,30113.37,32784.59,30542.17,1232.46,0.0,0.913,806.182,2.781,834.259,171.543,1052.099,4.512,1078.172,,0.001,,308.894,879.27,0.538,,4177.102,,0.271,43.628,,2.947,3.237,0.395,3.696,0.52,0.134,0.288,0.048,0.01,1.256,1.551,,0.017,6.793,,0.97,,55.638,,0.215,0.126,,,,0.401,57.886,0.538,0.345,0.081,0.184,3.939,0.276,17.347,6.129,3.992,0.016,0.007,0.43,99.132,,1.211,0.024,0.0,0.0,0.0,0.0,0.339,1
Uganda,3115,Kabale,2012,122639.641,22853.371,27192.201,5560.456,0.0,0.0,0.981,878.638,1.384,879.582,164.035,1335.995,4.021,1338.044,,0.002,,292.863,302.249,,,3381.186,0.269,0.374,50.25,,2.317,2.622,0.186,7.813,0.565,0.107,0.293,0.03,0.007,0.867,1.714,0.0,0.003,3.43,4.434,1.689,173.997,59.202,,0.199,0.075,,,,0.045,,0.717,0.412,0.171,0.057,3.533,0.087,12.305,5.089,4.813,0.0,0.0,0.222,35.881,,1.164,0.025,0.001,0.0,0.031,0.0,0.182,1
Uganda,42180,Kabarole,2005,34150.51,5497.43,10478.63,4171.85,541.99,0.0,0.91,986.557,3.92,1144.549,154.277,1605.409,26.291,2264.402,,0.006,,375.175,956.739,0.548,,2938.802,,0.339,43.34,,3.075,3.155,0.161,5.9,0.642,0.028,0.244,0.071,0.014,0.871,0.601,,0.0,14.733,,3.092,,28.62,,0.298,0.032,,,,0.122,97.027,0.584,0.419,0.117,0.077,5.346,0.194,74.709,6.23,4.9,0.016,0.014,0.307,156.641,,0.438,0.015,0.0,0.0,0.0,0.0,0.164,1
Uganda,42180,Kabarole,2012,41145.005,6840.959,2236.405,4015.672,0.0,0.0,1.0,917.829,3.006,1000.065,153.292,1558.037,5.981,1672.096,,0.004,,381.985,370.02,,,2838.523,0.045,0.379,45.945,,2.57,2.665,0.166,4.531,0.655,0.03,0.299,0.017,0.0,0.797,0.865,0.0,0.012,0.988,0.0,0.0,83.588,53.977,,0.236,0.047,,,,0.098,,0.647,0.298,0.297,0.049,4.344,0.076,5.749,5.431,6.181,0.0,0.0,0.054,110.093,,0.393,0.095,0.006,0.0,0.076,0.0,0.252,1
Uganda,42181,Kaberamaido,2005,8447.31,0.0,2815.77,0.0,0.0,0.0,0.778,399.178,,486.602,111.339,163.656,8.573,506.257,,0.0,,291.338,413.918,0.433,,908.437,,0.333,49.667,,3.444,3.111,0.0,1.852,0.675,0.118,0.099,0.108,0.0,1.576,2.372,,0.0,0.0,,0.0,,0.465,,0.027,0.008,,,,0.0,0.0,0.428,0.212,0.089,0.0,,0.0,,6.556,2.889,0.0,0.0,0.333,5.499,,2.028,0.078,0.0,0.0,0.0,0.0,0.344,1
Uganda,42181,Kaberamaido,2012,39978.293,10858.881,11066.159,1431.583,249.06,0.0,0.87,836.255,1.842,1045.32,159.571,970.434,5.314,1200.189,,0.002,,300.442,376.907,,,3130.831,0.311,0.305,46.287,,2.755,2.847,0.264,3.334,0.594,0.044,0.279,0.07,0.013,1.678,2.112,0.012,0.007,2.753,1.221,2.039,72.977,25.841,,0.275,0.045,,,,0.046,,0.64,0.257,0.23,0.067,3.322,0.089,9.175,5.645,5.218,0.004,0.002,0.29,100.132,,1.55,0.107,0.0,0.008,0.071,0.0,0.262,1
Uganda,3117,Kalangala,2005,6309.0,586.36,1172.72,1102.24,0.0,0.0,0.372,299.607,0.331,325.969,233.764,883.92,6.166,899.393,,0.003,,1107.269,1743.278,0.353,,6301.209,,0.361,39.234,,1.197,1.825,0.093,0.256,0.153,0.0,0.826,0.02,0.0,1.574,0.14,,0.0,2.536,,4.704,,9.234,,0.434,0.025,,,,0.175,16.629,0.135,0.094,0.032,0.059,3.469,0.307,5.784,3.022,4.416,0.0,0.0,0.186,89.345,,0.0,0.048,0.0,0.0,0.0,0.0,0.14,1
Uganda,3117,Kalangala,2012,39978.293,10858.881,11066.159,1431.583,249.06,0.0,0.87,836.255,1.842,1045.32,159.571,970.434,5.314,1200.189,,0.002,,300.442,376.907,,,3130.831,0.311,0.305,46.287,,2.755,2.847,0.264,3.334,0.594,0.044,0.279,0.07,0.013,1.678,2.112,0.012,0.007,2.753,1.221,2.039,72.977,25.841,,0.275,0.045,,,,0.046,,0.64,0.257,0.23,0.067,3.322,0.089,9.175,5.645,5.218,0.004,0.002,0.29,100.132,,1.55,0.107,0.0,0.008,0.071,0.0,0.262,1
Uganda,47075,Kaliro,2005,31119.67,2701.03,6313.76,1532.19,0.0,0.0,0.59,629.922,2.139,718.86,330.596,356.19,5.348,388.566,,0.001,,406.224,763.929,0.546,,2564.64,,0.224,45.256,,2.751,2.841,0.087,6.254,0.56,0.081,0.304,0.056,0.0,2.819,3.005,,0.0,0.25,,0.0,,4.453,,0.426,0.017,,,,0.049,7.967,0.432,0.244,0.141,0.039,8.422,0.047,8.354,5.599,3.768,0.0,0.0,0.203,96.895,,2.614,0.029,0.0,0.0,0.0,0.0,0.391,1
Uganda,47075,Kaliro,2012,38133.417,13421.811,3491.247,0.0,0.0,0.0,0.852,1274.146,2.598,1552.549,147.351,988.318,4.802,1259.611,,0.002,,239.705,205.032,,,5201.443,0.139,0.046,40.364,,2.686,3.635,0.352,1.275,0.547,0.017,0.432,0.004,0.0,1.726,5.762,0.0,0.0,3.28,0.04,0.0,68.042,36.312,,0.558,0.04,,,,0.0,,1.075,0.401,0.382,0.031,9.626,0.051,4.414,6.345,7.579,0.0,0.0,0.092,15.214,,4.752,0.136,0.0,0.0,0.22,0.0,0.186,1
Uganda,42182,Kampala,2005,35754.96,1860.34,14469.8,6731.49,0.0,0.0,0.573,391.123,0.967,432.398,677.275,891.861,9.838,1526.105,,0.003,,459.505,1405.391,0.161,,8796.868,,0.38,44.735,,3.71,4.248,0.052,1.262,0.212,0.035,0.679,0.067,0.007,1.059,1.79,,0.0,2.647,,2.454,,33.961,,0.231,0.113,,,,0.188,174.02,0.113,0.081,0.026,0.035,11.085,0.777,5.108,7.754,4.908,0.0,0.0,0.405,420.36,,1.624,0.018,0.0,0.0,0.0,0.0,0.165,1
Uganda,42182,Kampala,2012,11245.64,2338.132,7337.633,0.0,0.0,0.0,1.0,321.37,0.77,397.111,117.718,574.176,3.533,673.794,,0.001,,393.116,587.312,,,4454.379,0.0,0.606,43.197,,2.137,2.971,0.208,2.77,0.253,0.212,0.22,0.169,0.146,0.83,0.454,0.0,0.0,0.0,0.0,0.0,26.473,23.391,,0.217,0.05,,,,0.0,,0.375,0.168,0.107,0.086,2.835,0.152,9.65,5.107,6.552,0.0,0.0,0.652,421.64,,0.0,0.175,0.0,0.0,0.28,0.0,0.0,1
Uganda,42183,Kamwenge,2005,43257.66,1730.04,14062.89,9288.95,0.0,0.0,0.842,867.927,3.073,1003.353,185.455,752.569,4.05,841.847,,0.003,,423.419,722.427,0.62,,1876.549,,0.249,41.237,,2.503,2.566,0.04,5.776,0.802,0.042,0.119,0.019,0.017,1.611,0.564,,0.0,2.982,,0.0,,5.872,,0.348,0.012,,,,0.215,45.389,0.736,0.434,0.231,0.089,3.662,0.03,5.674,5.069,3.726,0.0,0.0,0.325,30.871,,0.377,0.058,0.0,0.0,0.0,0.0,0.187,1
Uganda,42183,Kamwenge,2012,53186.785,18887.106,0.0,8357.968,0.0,0.0,0.905,1083.036,2.296,1282.231,251.429,1299.509,6.197,1463.724,,0.003,,382.222,316.037,,,1856.049,0.006,0.292,43.267,,2.807,2.535,0.355,1.745,0.898,0.034,0.068,0.0,0.0,1.225,1.46,0.0,0.0,0.134,0.0,0.0,108.38,17.421,,0.408,0.015,,,,0.157,,0.925,0.423,0.292,0.077,3.705,0.036,14.819,5.516,3.706,0.0,0.0,0.0,0.0,,0.742,0.092,0.0,0.0,0.284,0.0,0.343,1
Uganda,42184,Kanungu,2005,29856.92,5229.31,7413.69,12724.32,317.13,0.0,0.845,1062.72,3.281,1351.774,616.875,925.454,5.705,1064.326,,0.002,,417.122,959.531,0.572,,4128.722,,0.152,40.726,,2.927,2.999,0.175,2.838,0.628,0.069,0.263,0.016,0.025,2.083,1.851,,0.0,2.544,,7.103,,29.55,,0.273,0.04,,,,0.426,173.245,0.715,0.508,0.15,0.138,3.194,0.279,3.315,5.99,4.137,0.011,0.001,0.248,80.479,,1.321,0.07,0.0,0.0,0.0,0.0,0.529,1
Uganda,42184,Kanungu,2012,46494.725,15723.919,5841.767,1165.627,0.0,0.0,0.9,1256.29,1.954,1478.884,152.415,1580.872,6.056,1763.84,,0.002,,324.074,421.105,,,4531.54,0.001,0.151,45.122,,2.675,2.933,0.338,1.531,0.534,0.03,0.397,0.021,0.021,1.606,1.51,0.0,0.0,0.038,0.0,0.0,49.483,18.515,,0.274,0.013,,,,0.025,,0.787,0.31,0.235,0.103,3.348,0.139,15.915,5.173,8.084,0.0,0.0,0.126,56.485,,0.948,0.089,0.0,0.0,0.13,0.0,0.278,1
